Name,Main Address,Type,Website Address,Telephone Number,Specialist,Partner Status,Experience,Certification,Certification,Certification,Facebook,Twitter,Linkedin,Name,Position,Industries Served,Connected Apps,Office Address Number 1,Office Address Telephone number 1,Office Address Number 2,Office Address Telephone number 2,Office Address Number 3,Office Address Telephone number 3,Office Address Number 4,Office Address Telephone number 4,Office Address Number 5,Office Address Telephone number 5,Office Address Number 6,Office Address Telephone number 6,Office Address Number 7,Office Address Telephone number 7,Office Address Number 8,Office Address Telephone number 8,Office Address Number 9,Office Address Telephone number 9,Office Address Number 10,Office Address Telephone number 10
Egia Financial Limited,"4 Galachlawshot, Edinburgh, Scotland",Accountant,http://www.egiafinancial.com,+44 7515408113,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero payroll certified,Xero migration certified,Xero advisor certified,https://www.facebook.com/egiafinancial/,,https://www.linkedin.com/company/11684364/admin/,Hannah Flook,Chartered Accountant (CA),,Receipt Bank,"4 Galachlawshot, Edinburgh, EH10 7JF, Scotland",+44 7515408113,,,,,,,,,,,,,,,,,,
Professional Bookkeeping Services,"Gallowhill Road, Kirkintilloch, Scotland",Bookkeeper,http://www.professionalbookkeepingservices.co.uk,+44 7539733637,Making Tax Digital Ready,Bronze champion partner,Partner since 2016,Xero advisor certified,Xero payroll certified,Xero migration certified,https://www.facebook.com/pbookkeepingservices/#,https://www.twitter.com/DonnaWi13544353,,Donna Wilson,Bookkeeper,Repairs and personal services,"AutoEntry, 
Xavier Analytics, 
Datamolino, 
Hubdoc","Gallowhill Road, Kirkintilloch, G66 4AJ, Scotland",+44 7539733637,"DG11 2SE, Lockerbie, DG11 2SE, Scotland",+44 7539733637,,,,,,,,,,,,,,,,
Bookcrunchers Bookkeeping Services,"28 Truscott Avenue, Blunsdon Saint Andrew",Bookkeeper,http://www.bookcrunchers.co.uk,+44 7581701568,Making Tax Digital Ready,Bronze champion partner,Partner since 2014,Xero payroll certified,Xero migration certified,Xero advisor certified,,,,,,,,"28 Truscott Avenue, Blunsdon Saint Andrew, SN25 2GR",+44 7581701568,,,,,,,,,,,,,,,,,,
Fingertips Finance Ltd,"Southville Close, Ewell, England",Bookkeeper,http://www.fingertipsfinance.co.uk,+44 (0)1372613000,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero advisor certified,Xero payroll certified,Xero migration certified,https://www.facebook.com/FingertipsF,https://www.twitter.com/fingertipsF,,Katrina Yates,Director,,,"Southville Close, Ewell, KT19, England",+44 (0)1372613000,,,,,,,,,,,,,,,,,,
AR & HR Services,"31 Redford Drive, Edinburgh, Scotland",Bookkeeper,,,Making Tax Digital Ready,Bronze champion partner,Partner since 2016,Xero migration certified,Xero advisor certified,,,,,,,,,"31 Redford Drive, Edinburgh, EH13 0BG, Scotland",+44 7913060842,,,,,,,,,,,,,,,,,,
RX Accountancy Ltd,"Widnes, Widnes, England",Accountant,,,Making Tax Digital Ready,Bronze champion partner,Partner since 2018,Xero migration certified,Xero advisor certified,Xero payroll certified,http://facebook.com/RXAccountancy,,,,,,,"Widnes, Widnes, England",,,,,,,,,,,,,,,,,,,
E M Accounting Solutions Ltd,"6 Wolfreton Drive, McMillan House, Anlaby, England",Accountant,http://www.emaccountingsolutions.co.uk,+44 7849164987,Making Tax Digital Ready,Bronze partner,Partner since 2018,Xero migration certified,Xero advisor certified,,,,,Emma Ransom,Accountant,Construction and trades,,"6 Wolfreton Drive, McMillan House, Anlaby, HU10 7BY, England",+44 7849164987,,,,,,,,,,,,,,,,,,
South Wales Accounting Services,"14 Rhyd-Y-Gwern Close, Rudry, Cymru",Bookkeeper,http://www.swas.online,+44 2920864838,,Bronze champion partner,Partner since 2016,Xero advisor certified,Xero migration certified,,,,,,,,"DEAR Inventory, 
Receipt Bank","14 Rhyd-Y-Gwern Close, Rudry, CF83 3NN, Cymru",+44 2920864838,,,,,,,,,,,,,,,,,,
ERAA Consulting Limited,"299 Romford Road, London, England",Accountant,http://www.eraaconsulting.co.uk,+44 7400439071,Making Tax Digital Ready,Bronze champion partner,Partner since 2015,Xero migration certified,Xero advisor certified,Xero payroll certified,https://www.facebook.com/Youraccountants,https://www.twitter.com/gprofessionala,https://uk.linkedin.com/in/eraaaccountants,Ejaz Ul Haq,Managing Director,E-commerce,,"299 Romford Road, London, E7, England",+44 7400439071,,,,,,,,,,,,,,,,,,
Steel Cap Consulting,"Goodwood Close, Shotley Bridge, England",Bookkeeper,https://steelcap.uk/,+44 7711436335,,Bronze champion partner,Partner since 2015,Xero advisor certified,,,https://www.facebook.com/steelcapuk/?pnref=about.overview,https://www.twitter.com/steelcapuk,https://www.linkedin.com/in/amanda-murray-20aaa37,Amanda Murray,,Professional services,"Receipt Bank, 
Entryless","Goodwood Close, Shotley Bridge, DH8 0UF, England",+44 7711436335,,,,,,,,,,,,,,,,,,
